query_num,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,average
query_1,0.08403229713439941,0.06778526306152344,0.045456886291503906,0.06278681755065918,0.06355476379394531,0.057515621185302734,0.037781476974487305,0.07412552833557129,0.057970285415649414,0.04893040657043457,0.061310768127441406,0.05183219909667969,0.04684710502624512,0.0467982292175293,0.061942100524902344,0.05030632019042969,0.06308650970458984,0.05225491523742676,0.06652522087097168,0.049623727798461914,0.05648946762084961
query_2,0.09861207008361816,0.02040576934814453,0.046540021896362305,0.06674885749816895,0.04932570457458496,0.05031466484069824,0.04996609687805176,0.05005002021789551,0.0664205551147461,0.06978964805603027,0.10518836975097656,0.01550602912902832,0.04233598709106445,0.049790382385253906,0.05059504508972168,0.04973173141479492,0.04971909523010254,0.05112123489379883,0.04821062088012695,0.06486821174621582,0.05176443523830838
query_3,0.05626082420349121,0.04596447944641113,0.05032038688659668,0.06713557243347168,0.04895186424255371,0.06696105003356934,0.060622215270996094,0.05132937431335449,0.051152944564819336,0.04693770408630371,0.05949902534484863,0.04680228233337402,0.06746244430541992,0.06607317924499512,0.0508573055267334,0.07453632354736328,0.058428049087524414,0.04728364944458008,0.0686945915222168,0.04981493949890137,0.057167357868618436
query_4,0.07130146026611328,0.044754743576049805,0.06597518920898438,0.05253481864929199,0.06242966651916504,0.0643758773803711,0.06844520568847656,0.05302262306213379,0.04996633529663086,0.04997515678405762,0.06627321243286133,0.04997372627258301,0.0616755485534668,0.05145740509033203,0.06270575523376465,0.0564267635345459,0.07201337814331055,0.05798506736755371,0.05914664268493652,0.045250654220581055,0.05828539530436198
query_5,0.16364312171936035,0.05880165100097656,0.06158590316772461,0.0649411678314209,0.052596092224121094,0.06341099739074707,0.05600404739379883,0.06598758697509766,0.05864858627319336,0.08326125144958496,0.06917691230773926,0.06733942031860352,0.0663750171661377,0.08337879180908203,0.05741477012634277,0.06506896018981934,0.07694053649902344,0.06896162033081055,0.06447696685791016,0.06249690055847168,0.0657983488506741
query_6,0.004220724105834961,0.06098341941833496,0.0559995174407959,0.06396126747131348,0.05589747428894043,0.040582895278930664,0.06298279762268066,0.05959320068359375,0.050013065338134766,0.04941964149475098,0.0503687858581543,0.04994010925292969,0.04970860481262207,0.049295663833618164,0.04761004447937012,0.06198883056640625,0.058194637298583984,0.05167222023010254,0.047463417053222656,0.052219390869140625,0.05364864402347141
query_7,0.15780353546142578,0.10144400596618652,0.13822102546691895,0.08343911170959473,0.08030891418457031,0.09374046325683594,0.07402610778808594,0.35234928131103516,0.09795570373535156,0.0789942741394043,0.07951545715332031,0.0789952278137207,0.2393031120300293,0.08259892463684082,0.1575467586517334,0.11625552177429199,0.084259033203125,0.0761563777923584,0.15317392349243164,0.06696176528930664,0.12046017911699083
query_8,0.6320674419403076,0.28870177268981934,0.3388857841491699,0.33660316467285156,0.3216521739959717,0.3788774013519287,0.253110408782959,0.3082101345062256,0.31432223320007324,0.29466748237609863,0.2552621364593506,0.2778182029724121,0.3301842212677002,0.25134897232055664,0.2848951816558838,0.3691391944885254,0.281538724899292,0.28913378715515137,0.2990729808807373,0.2694120407104492,0.3040791087680393
query_9,2.200972080230713,1.3539905548095703,1.405747890472412,1.3475115299224854,1.3264548778533936,1.4679195880889893,1.6619725227355957,1.5869379043579102,1.5594918727874756,1.9871156215667725,1.295041799545288,1.2714416980743408,1.7680754661560059,1.5056524276733398,1.3447990417480469,1.2947685718536377,1.3684725761413574,1.3878281116485596,1.427271842956543,1.4376051425933838,1.4644718832439847
query_10,3.2216289043426514,2.7938778400421143,2.852421522140503,2.894183397293091,2.8061559200286865,2.829921007156372,2.8561675548553467,2.9393718242645264,2.759343385696411,2.9772024154663086,2.8733885288238525,2.9099888801574707,2.756124258041382,2.9606773853302,2.810774803161621,2.8597280979156494,3.209306478500366,3.024089813232422,2.8066418170928955,2.854600429534912,2.8844091627332897
